created_at,entry_id,field1,field2,field3
2023-04-16 17:57:19 UTC,4106,22.12000,74.81000,0.67129
2023-04-16 18:02:21 UTC,4107,22.12000,74.97000,0.66702
2023-04-16 18:07:22 UTC,4108,22.09000,75.17000,0.66048
2023-04-16 18:12:27 UTC,4109,22.11000,75.44000,0.65410
2023-04-16 18:17:29 UTC,4110,22.07000,75.36000,0.65463
2023-04-16 18:22:31 UTC,4111,22.08000,75.31000,0.65636
2023-04-16 18:27:32 UTC,4112,22.09000,77.20000,0.60649
2023-04-16 18:32:34 UTC,4113,22.09000,76.17000,0.63388
2023-04-16 18:37:36 UTC,4114,22.08000,76.14000,0.63429
2023-04-16 18:42:37 UTC,4115,21.98000,76.32000,0.62568
2023-04-16 18:47:39 UTC,4116,21.93000,76.03000,0.63142
2023-04-16 18:52:41 UTC,4117,21.81000,76.16000,0.62341
2023-04-16 18:57:42 UTC,4118,21.87000,76.38000,0.61993
2023-04-16 19:02:44 UTC,4119,21.90000,76.70000,0.61265
2023-04-16 19:07:46 UTC,4120,21.74000,76.54000,0.61086
2023-04-16 19:12:47 UTC,4121,21.66000,76.73000,0.60296
2023-04-16 19:17:49 UTC,4122,21.66000,77.02000,0.59544
2023-04-16 19:22:51 UTC,4123,21.51000,77.17000,0.58615
2023-04-16 19:27:52 UTC,4124,21.49000,77.21000,0.58441
2023-04-16 19:32:54 UTC,4125,21.56000,77.12000,0.58924
2023-04-16 19:37:56 UTC,4126,21.66000,76.88000,0.59907
2023-04-16 19:42:58 UTC,4127,21.73000,76.59000,0.60918
2023-04-16 19:47:59 UTC,4128,21.70000,76.60000,0.60781
2023-04-16 19:53:01 UTC,4129,21.76000,76.83000,0.60405
2023-04-16 19:58:03 UTC,4130,21.81000,76.86000,0.60511
2023-04-16 20:03:04 UTC,4131,21.83000,76.10000,0.62575
2023-04-16 20:08:06 UTC,4132,21.86000,76.32000,0.62112
2023-04-16 20:13:08 UTC,4133,21.84000,75.97000,0.62953
2023-04-16 20:18:09 UTC,4134,21.87000,76.32000,0.62150
2023-04-16 20:23:11 UTC,4135,21.96000,76.72000,0.61437
2023-04-16 20:28:13 UTC,4136,21.97000,75.96000,0.63481
2023-04-16 20:33:14 UTC,4137,22.01000,75.70000,0.64324
2023-04-16 20:38:16 UTC,4138,22.01000,76.02000,0.63477
2023-04-16 20:43:18 UTC,4139,22.01000,76.82000,0.61359
